48 36 10 10 10
12E 171 451 0D 55A 35A 376 4A5 07 4CE 3E 5ED 654 606 51A 324 5EF 405 3D3 C1 269 597 668 2F 251 39D 204 6AE 65F 5C9 56B 69 2AC 263 691 2C1 342 1C1 11F 3CD 554 72 461 119 5EE 1A6 655 47C 
5A0 54 38E 372 345 536 1BB 532 527 277 92 4FD 2ED 31 5F5 612 105 450 2F1 5DF 2E4 37B 2DA 2FB 1AB 56A 50D 5BD 51 4FB 4CB D4 6B8 5BE 3FD 602 5A4 17 27D 1BC 1B1 3E0 51D 3B0 69D 32D 61E 640 
226 596 5E3 5AE 57F 343 6AB 5E7 2C8 583 24A 5A6 240 303 382 4E1 5F9 52E 3D8 4D9 2D3 688 55B 11B F6 2D9 266 2CB 1A7 23C 500 2A5 5D 55C 634 620 5B5 3C4 29F 32C 2E9 4AC 5A1 59E 20 2C0 629 17A 
20E 58A 475 646 36A 66A 52F 5FD 2E6 306 290 199 515 347 234 BD 3D 56 D9 102 45 4E8 520 4C7 3FB 601 20F 11C 340 45D 3AE 1C 5E 663 505 339 3C9 2EA 4C6 573 395 29A 151 4A6 49E 6BB 1FE 3D6 
54C 501 69C 3D0 1F5 A5 5C3 207 197 123 2F4 5D6 4C8 22D 591 569 33E B0 556 530 4C 103 609 32A 1D8 3AB E6 674 2EC 648 133 282 68B 5F4 46B 379 2BB 304 1D1 1CC 35F 63A 579 3A4 410 454 4F4 445 
4E6 23D 00 248 14D 42D 578 250 95 467 365 15E 9F 58D 3DD 5C2 3BA 1ED 49 67 1D0 CE 525 29C 220 2D5 489 5B4 D2 7D 1C5 238 5C 4FA 3D9 378 323 4B8 32 59F 2AF 1A1 2DF 168 29E 4E 160 4EB 
C8 492 13A 178 637 63B 52A 44 5D3 4D 294 1C6 5B6 57C 56E 5A9 5BF 350 22C 43C 1E7 3AD 288 651 35C 13 8F 6B0 9C 158 540 267 5C5 33 370 1E0 307 8B 670 5DB 25B 173 2E 56F 27A FD 10C 4F7 
1EE 6AA 286 140 5A8 512 675 124 21C 3B9 66D 63C 547 49A D5 59B 44B 146 110 585 3E1 262 3A 51F 4DB 335 47 497 249 406 AD 5FC 689 2BC 560 1A4 360 02 36D 6B 34F 2F3 389 75 478 193 DB 260 
6B4 2DD 2E1 AE 564 1FA 33D 572 112 5E6 1B5 5F 231 200 155 52 438 20B 14A 6A4 5F2 595 25F 2FE 380 5CD 5DD 5AA 693 2CD 1E5 413 68E 331 4F6 418 273 352 58C 281 457 1F7 59D 40D 24 499 5D1 212 
5CB 553 421 3F0 3EC 397 4D5 BA 5D0 477 332 550 408 5F8 152 4A2 221 28A B5 43A 453 63F 3B5 16A 0E 66 419 5FE 5D9 B9 2B 4BA D0 38A 49F 518 BF 121 436 25D 30D 468 40B 1AC 4BE 559 B6 179 
1C7 236 411 62A 508 4B6 48B 69B 180 C7 F1 1CF 299 4EC EA 5D5 243 283 1AD 325 40F 1B6 50F 241 362 258 305 159 205 2FD 23B 558 60 17F 46C 1F 55E 4D6 2D8 2B7 534 354 2A7 4E7 531 57E 358 3E6 
